"year","hour","solar","solardiff","temp","rh","windspeed","precip","doy"
2006,13,9.58089276537066e-06,7.96075820922852,7.21825551986694,0.904615640640259,6.81011867523193,0,301
2006,14,9.58089276537066e-06,7.96075820922852,7.21825551986694,0.904615640640259,6.81011867523193,0,301
2006,15,730.608581542969,247.988296508789,8.58950233459473,0.611665606498718,7.69445991516113,0,301
2006,16,730.608581542969,247.988296508789,8.58950233459473,0.611665606498718,7.69445991516113,0,301
2006,17,730.608581542969,247.988296508789,8.58950233459473,0.611665606498718,7.69445991516113,0,301
2006,18,1045.74304199219,273.680969238281,11.9551029205322,0.337057739496231,9.03027248382568,0,301
2006,19,1045.74304199219,273.680969238281,11.9551029205322,0.337057739496231,9.03027248382568,0,301
2006,20,1045.74304199219,273.680969238281,11.9551029205322,0.337057739496231,9.03027248382568,0,301
2006,21,334.912994384766,198.123870849609,13.7076663970947,0.33165842294693,9.40325260162354,0,301
2006,22,334.912994384766,198.123870849609,13.7076663970947,0.33165842294693,9.40325260162354,0,301
2006,23,334.912994384766,198.123870849609,13.7076663970947,0.33165842294693,9.40325260162354,0,301
2006,0,0,0,12.2999820709229,0.416482299566269,5.98259258270264,0,302
2006,1,0,0,12.2999820709229,0.416482299566269,5.98259258270264,0,302
2006,2,0,0,12.2999820709229,0.416482299566269,5.98259258270264,0,302
2006,3,0,0,10.0839786529541,0.588696837425232,7.32925081253052,0,302
2006,4,0,0,10.0839786529541,0.588696837425232,7.32925081253052,0,302
2006,5,0,0,10.0839786529541,0.588696837425232,7.32925081253052,0,302
2006,6,0,0,9.37014198303223,0.70898449420929,7.04086828231812,0,302
2006,7,0,0,9.37014198303223,0.70898449420929,7.04086828231812,0,302
2006,8,0,0,9.37014198303223,0.70898449420929,7.04086828231812,0,302
2006,9,0,0,9.86135292053223,0.729772448539734,7.78338527679443,0,302
2006,10,0,0,9.86135292053223,0.729772448539734,7.78338527679443,0,302
2006,11,0,0,9.86135292053223,0.729772448539734,7.78338527679443,0,302
2006,12,6.50914444122463e-07,6.4718770980835,9.4958438873291,0.821841716766357,6.36770629882812,0,302
2006,13,6.50914444122463e-07,6.4718770980835,9.4958438873291,0.821841716766357,6.36770629882812,0,302
2006,14,6.50914444122463e-07,6.4718770980835,9.4958438873291,0.821841716766357,6.36770629882812,0,302
2006,15,717.629638671875,246.843338012695,10.307092666626,0.847031831741333,5.12320995330811,0,302
2006,16,717.629638671875,246.843338012695,10.307092666626,0.847031831741333,5.12320995330811,0,302
2006,17,717.629638671875,246.843338012695,10.307092666626,0.847031831741333,5.12320995330811,0,302
2006,18,1031.86413574219,273.026153564453,13.964807510376,0.65307742357254,2.38724684715271,0,302
2006,19,1031.86413574219,273.026153564453,13.964807510376,0.65307742357254,2.38724684715271,0,302
2006,20,1031.86413574219,273.026153564453,13.964807510376,0.65307742357254,2.38724684715271,0,302
2006,21,325.080963134766,196.855407714844,17.0391788482666,0.519016087055206,3.54207515716553,0,302
2006,22,325.080963134766,196.855407714844,17.0391788482666,0.519016087055206,3.54207515716553,0,302
2006,23,325.080963134766,196.855407714844,17.0391788482666,0.519016087055206,3.54207515716553,0,302
2006,0,0,0,14.5608158111572,0.629905521869659,2.60348510742188,0,303
